Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-24 00:00:00-04:00,49036.98142461464,50900.38671875,49135.05538746387,50900.38671875,1139,0.0,0.0
2024-06-25 00:00:00-04:00,50900.38671875,50900.38671875,50782.697963330924,50900.38671875,4344,0.0,0.0
2024-06-26 00:00:00-04:00,50900.38646235521,50802.3125,50037.335593629345,50802.3125,1504,0.0,0.0
2024-06-27 00:00:00-04:00,50802.3125,50802.3125,50802.3125,50802.3125,648,0.0,0.0
2024-06-28 00:00:00-04:00,50802.3125,50802.3125,50802.3125,50802.3125,796,0.0,0.0
2024-07-02 00:00:00-04:00,50802.310104045966,50802.310104045966,49233.12678036887,50782.6953125,1128,0.0,0.0
2024-07-03 00:00:00-04:00,50782.6953125,50782.6953125,50782.6953125,50782.6953125,442,0.0,0.0
2024-07-04 00:00:00-04:00,50782.695321297855,52253.8046875,52253.8046875,52253.8046875,2723,0.0,0.0
2024-07-05 00:00:00-04:00,52253.80541918429,51959.58354182402,49703.882482061934,51939.96875,912,0.0,0.0
2024-07-08 00:00:00-04:00,51939.96875,51939.96875,51939.96875,51939.96875,505,0.0,0.0
2024-07-09 00:00:00-04:00,51939.96700721153,51979.196589543266,49017.36312349759,50998.45703125,16100,0.0,0.0
2024-07-10 00:00:00-04:00,50998.458333333336,50115.792708333334,49350.815833333334,50017.71875,8833,0.0,0.0
2024-07-11 00:00:00-04:00,50017.71875,50017.71875,50017.71875,50017.71875,34,0.0,0.0
2024-07-12 00:00:00-04:00,50017.71743502475,49527.34765625,49527.34765625,49527.34765625,1836,0.0,0.0
2024-07-15 00:00:00-04:00,49527.3506784458,49488.12109375,49233.128793227304,49488.12109375,1300,0.0,0.0
2024-07-16 00:00:00-04:00,49488.1206890625,49036.98046875,47644.3302234375,49036.98046875,2293,0.0,0.0
2024-07-17 00:00:00-04:00,49036.98046875,49036.98046875,49036.98046875,49036.98046875,806,0.0,0.0
2024-07-18 00:00:00-04:00,49036.98046875,49036.98046875,48997.750884375004,49036.98046875,6196,0.0,0.0
2024-07-19 00:00:00-04:00,49036.97783801021,48056.23828125,48056.23828125,48056.23828125,1975,0.0,0.0
2024-07-22 00:00:00-04:00,48056.24200619726,48115.08638416403,46487.05859375,46487.05859375,4679,0.0,0.0
2024-07-23 00:00:00-04:00,46487.05506310096,50998.45703125,46016.30007512019,50998.45703125,20934,0.0,0.0
2024-07-24 00:00:00-04:00,50998.45961084906,51979.19921875,50213.8679245283,51979.19921875,5093,0.0,0.0
2024-07-25 00:00:00-04:00,51979.19921875,51979.19921875,50821.92648142689,51979.19921875,2160,0.0,0.0
2024-07-26 00:00:00-04:00,51979.19682250378,51979.19682250378,50998.457259815026,51959.58203125,1932,0.0,0.0
2024-07-29 00:00:00-04:00,51959.583125,52959.9375,52959.9375,52959.9375,894,0.0,0.0
2024-07-30 00:00:00-04:00,52959.9375,52959.9375,50763.08083333333,52959.9375,1852,0.0,0.0
2024-07-31 00:00:00-04:00,52959.936221590906,53940.67578125,50704.235234374995,53940.67578125,7201,0.0,0.0
2024-08-01 00:00:00-04:00,53940.675744742985,52665.71431804906,51292.6789354556,52469.56640625,6465,0.0,0.0
2024-08-02 00:00:00-04:00,52469.569022700474,54921.41804245283,51292.68149321934,51979.19921875,5866,0.0,0.0
2024-08-05 00:00:00-04:00,51979.19921875,51979.19921875,50037.33479510613,51979.19921875,3204,0.0,0.0
2024-08-06 00:00:00-04:00,51979.1971863977,55607.93359375,51959.58239500661,55607.93359375,5625,0.0,0.0
