"Field","Value"
"address1","Carrera 9"
"address2","No. 72 - 21"
"city","Bogotá"
"country","Colombia"
"website","https://www.bbva.com.co"
"industry","Banks - Regional"
"industryKey","banks-regional"
"industryDisp","Banks - Regional"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"fullTimeEmployees","5722"
"maxAge","86400"
"priceHint","2"
"previousClose","178.0"
"open","180.0"
"dayLow","180.0"
"dayHigh","180.0"
"regularMarketPreviousClose","178.0"
"regularMarketOpen","180.0"
"regularMarketDayLow","180.0"
"regularMarketDayHigh","180.0"
"dividendRate","47.94"
"dividendYield","0.2523"
"exDividendDate","1686182400"
"fiveYearAvgDividendYield","9.22"
"volume","74000"
"regularMarketVolume","74000"
"averageVolume","23064"
"averageVolume10days","13259"
"averageDailyVolume10Day","13259"
"bid","180.0"
"ask","208.0"
"marketCap","3285414051840"
"fiftyTwoWeekLow","173.0"
"fiftyTwoWeekHigh","238.0"
"priceToSalesTrailing12Months","1.4219321"
"fiftyDayAverage","182.9"
"twoHundredDayAverage","194.795"
"currency","COP"
"enterpriseValue","3375824633856"
"profitMargins","-0.054429997"
"floatShares","3234352503"
"sharesOutstanding","17308999680"
"heldPercentInsiders","0.77705"
"heldPercentInstitutions","0.00485"
"impliedSharesOutstanding","18252300288"
"bookValue","456.251"
"priceToBook","0.3945197"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"netIncomeToCommon","-125751001088"
"trailingEps","-13.72"
"enterpriseToRevenue","1.461"
"52WeekChange","-0.25210083"
"SandP52WeekChange","0.2421279"
"lastDividendValue","32.44"
"lastDividendDate","1686182400"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","BBVACOL.CL"
"underlyingSymbol","BBVACOL.CL"
"shortName","BBVA COLOMBIA SA"
"longName","Banco Bilbao Vizcaya Argentaria Colombia S.A."
"firstTradeDateEpochUtc","1001511000"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","b4d28c28-6fca-381f-9cf4-1037997ebfe5"
"messageBoardId","finmb_396450"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","180.0"
"recommendationKey","none"
"totalCash","14849094451200"
"totalCashPerShare","1032.069"
"totalDebt","15654972293120"
"totalRevenue","2310528040960"
"revenuePerShare","234.659"
"returnOnAssets","-0.00118"
"returnOnEquity","-0.01756"
"operatingCashflow","158146002944"
"revenueGrowth","-0.696"
"operatingMargins","-0.27997"
"financialCurrency","COP"
"trailingPegRatio",""
