"Field","Value"
"address1","Carrera 48 # 26-85"
"address2","Avenida Los Industriales"
"city","Medellín"
"country","Colombia"
"phone","57 6 014 885950"
"website","https://www.grupobancolombia.com"
"industry","Banks - Regional"
"industryKey","banks-regional"
"industryDisp","Banks - Regional"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"fullTimeEmployees","33888"
"maxAge","86400"
"priceHint","2"
"previousClose","38000.0"
"open","38000.0"
"dayLow","37800.0"
"dayHigh","38000.0"
"regularMarketPreviousClose","38000.0"
"regularMarketOpen","38000.0"
"regularMarketDayLow","37800.0"
"regularMarketDayHigh","38000.0"
"dividendRate","3536.0"
"dividendYield","0.0938"
"exDividendDate","1735171200"
"payoutRatio","0.5566"
"fiveYearAvgDividendYield","6.07"
"beta","1.098"
"trailingPE","5.971418"
"volume","32749"
"regularMarketVolume","32749"
"averageVolume","120030"
"averageVolume10days","135394"
"averageDailyVolume10Day","135394"
"bid","37940.0"
"ask","37960.0"
"marketCap","35075112566784"
"fiftyTwoWeekLow","30600.0"
"fiftyTwoWeekHigh","40300.0"
"priceToSalesTrailing12Months","1.6179495"
"fiftyDayAverage","37886.8"
"twoHundredDayAverage","35959.9"
"currency","COP"
"enterpriseValue","46130452758528"
"forwardPE","6.0139"
"profitMargins","0.27918"
"floatShares","548722304"
"sharesOutstanding","509704992"
"heldPercentInsiders","0.55871"
"heldPercentInstitutions","0.31486"
"impliedSharesOutstanding","963267008"
"bookValue","42522.652"
"priceToBook","0.89223033"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1727654400"
"earningsQuarterlyGrowth","0.006"
"netIncomeToCommon","6052349214720"
"trailingEps","6353.6"
"enterpriseToRevenue","2.128"
"52WeekChange","0.18012428"
"SandP52WeekChange","0.2421279"
"lastDividendValue","884.0"
"lastDividendDate","1735171200"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","BCOLOMBIA.CL"
"underlyingSymbol","BCOLOMBIA.CL"
"shortName","BANCOLOMBIA SA"
"longName","Bancolombia S.A."
"firstTradeDateEpochUtc","946996200"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","7de65355-8a40-3f65-90c4-27ae9066b5e8"
"messageBoardId","finmb_393219"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","37940.0"
"targetHighPrice","47000.0"
"targetLowPrice","30604.0"
"targetMeanPrice","36300.668"
"targetMedianPrice","35750.0"
"recommendationMean","2.33333"
"recommendationKey","buy"
"numberOfAnalystOpinions","6"
"totalCash","26541796884480"
"totalCashPerShare","27595.188"
"totalDebt","35107752640512"
"totalRevenue","21678744666112"
"revenuePerShare","22539.13"
"returnOnAssets","0.017690001"
"returnOnEquity","0.15218"
"earningsGrowth","0.006"
"revenueGrowth","0.056"
"operatingMargins","0.38664"
"financialCurrency","COP"
"trailingPegRatio",""
