"Field","Value"
"address1","carrera 53"
"address2","No 106–280 Centro Empresarial Buenavista Piso 17, Buenavista"
"city","Barranquilla"
"country","Colombia"
"website","https://www.argos.co"
"industry","Building Materials"
"industryKey","building-materials"
"industryDisp","Building Materials"
"sector","Basic Materials"
"sectorKey","basic-materials"
"sectorDisp","Basic Materials"
"fullTimeEmployees","7000"
"maxAge","86400"
"priceHint","2"
"previousClose","10340.0"
"open","10200.0"
"dayLow","9920.0"
"dayHigh","11000.0"
"regularMarketPreviousClose","10340.0"
"regularMarketOpen","10200.0"
"regularMarketDayLow","9920.0"
"regularMarketDayHigh","11000.0"
"dividendRate","441.6"
"dividendYield","0.052399997"
"exDividendDate","1735516800"
"payoutRatio","0.84099996"
"fiveYearAvgDividendYield","5.12"
"beta","0.746"
"trailingPE","20.304005"
"volume","721509"
"regularMarketVolume","721509"
"averageVolume","976593"
"averageVolume10days","838420"
"averageDailyVolume10Day","838420"
"bid","10900.0"
"ask","10980.0"
"marketCap","14449242013696"
"fiftyTwoWeekLow","6030.0"
"fiftyTwoWeekHigh","11000.0"
"priceToSalesTrailing12Months","1.1456984"
"fiftyDayAverage","8860.2"
"twoHundredDayAverage","8387.7"
"currency","COP"
"enterpriseValue","14295457857536"
"forwardPE","32.37124"
"profitMargins","0.43932"
"floatShares","537446643"
"sharesOutstanding","1315960064"
"heldPercentInsiders","0.59168"
"heldPercentInstitutions","0.30431998"
"impliedSharesOutstanding","1344179968"
"bookValue","7187.61"
"priceToBook","1.5276288"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","-0.207"
"netIncomeToCommon","490948984832"
"trailingEps","540.78"
"lastSplitFactor","5:1"
"lastSplitDate","1146528000"
"enterpriseToRevenue","1.134"
"enterpriseToEbitda","6.708"
"52WeekChange","0.68130076"
"SandP52WeekChange","0.2421279"
"lastDividendValue","156.46"
"lastDividendDate","1735516800"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","CEMARGOS.CL"
"underlyingSymbol","CEMARGOS.CL"
"shortName","CEMENTOS ARGOS SA"
"longName","Cementos Argos S.A."
"firstTradeDateEpochUtc","947082600"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","77618c53-aab1-345d-b623-0ff091d47269"
"messageBoardId","finmb_877756"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","10980.0"
"targetHighPrice","12700.0"
"targetLowPrice","8600.0"
"targetMeanPrice","10818.75"
"targetMedianPrice","11000.0"
"recommendationMean","2.44444"
"recommendationKey","buy"
"numberOfAnalystOpinions","8"
"totalCash","2760201994240"
"totalCashPerShare","2097.294"
"ebitda","2131092045824"
"totalDebt","5425453858816"
"quickRatio","0.924"
"currentRatio","1.167"
"totalRevenue","12611732111360"
"debtToEquity","41.315"
"revenuePerShare","10594.037"
"returnOnAssets","0.04744"
"returnOnEquity","0.04757"
"freeCashflow","1256512815104"
"operatingCashflow","1576129003520"
"earningsGrowth","-0.264"
"revenueGrowth","-0.011"
"grossMargins","0.22829"
"ebitdaMargins","0.16898"
"operatingMargins","0.111190006"
"financialCurrency","COP"
"trailingPegRatio",""
