"Field","Value"
"address1","Sao Paulo Plaza"
"address2","4to piso Carrera 43A No. 18 Sur-135"
"city","Medellín"
"country","Colombia"
"phone","57 604 402 5700"
"website","https://www.conconcreto.com"
"industry","Engineering & Construction"
"industryKey","engineering-construction"
"industryDisp","Engineering & Construction"
"sector","Industrials"
"sectorKey","industrials"
"sectorDisp","Industrials"
"maxAge","86400"
"priceHint","2"
"previousClose","470.0"
"open","472.0"
"dayLow","472.0"
"dayHigh","487.0"
"regularMarketPreviousClose","470.0"
"regularMarketOpen","472.0"
"regularMarketDayLow","472.0"
"regularMarketDayHigh","487.0"
"exDividendDate","1677110400"
"fiveYearAvgDividendYield","1.88"
"beta","0.743"
"trailingPE","27.77143"
"volume","1752957"
"regularMarketVolume","1752957"
"averageVolume","991173"
"averageVolume10days","1433323"
"averageDailyVolume10Day","1433323"
"bid","485.0"
"ask","488.0"
"marketCap","551245512704"
"fiftyTwoWeekLow","250.0"
"fiftyTwoWeekHigh","487.0"
"priceToSalesTrailing12Months","0.48454696"
"fiftyDayAverage","339.86"
"twoHundredDayAverage","300.585"
"currency","COP"
"enterpriseValue","1017533300736"
"profitMargins","0.014989999"
"floatShares","254061764"
"sharesOutstanding","1134249984"
"heldPercentInsiders","0.7959"
"heldPercentInstitutions","0.0081"
"impliedSharesOutstanding","1142380032"
"bookValue","1229.401"
"priceToBook","0.39531446"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"netIncomeToCommon","17050605568"
"trailingEps","17.5"
"enterpriseToRevenue","0.894"
"enterpriseToEbitda","20.742"
"52WeekChange","0.8409091"
"SandP52WeekChange","0.24544632"
"lastDividendValue","4.40818"
"lastDividendDate","1677110400"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","CONCONCRET.CL"
"underlyingSymbol","CONCONCRET.CL"
"shortName","CONSTRUCTORA CONCO"
"longName","Constructora Conconcreto S.A."
"firstTradeDateEpochUtc","1293114600"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","79c0c7eb-9829-3059-ba3f-87130cc74c73"
"messageBoardId","finmb_5700899"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","486.0"
"targetHighPrice","550.0"
"targetLowPrice","550.0"
"targetMeanPrice","550.0"
"targetMedianPrice","550.0"
"recommendationKey","none"
"numberOfAnalystOpinions","1"
"totalCash","116554424320"
"totalCashPerShare","102.759"
"ebitda","49055506432"
"totalDebt","786577752064"
"quickRatio","0.734"
"currentRatio","1.433"
"totalRevenue","1137651351552"
"debtToEquity","54.837"
"revenuePerShare","1002.994"
"returnOnAssets","0.00506"
"returnOnEquity","0.01195"
"freeCashflow","198948651008"
"operatingCashflow","67414007808"
"revenueGrowth","0.014"
"grossMargins","0.07557"
"ebitdaMargins","0.043119997"
"operatingMargins","0.1233"
"financialCurrency","COP"
"trailingPegRatio",""
