"Field","Value"
"address1","Carrera 13 No. 36 - 24"
"city","Bogotá"
"country","Colombia"
"phone","57 310 315 8600"
"website","https://www.ecopetrol.com.co"
"industry","Oil & Gas Integrated"
"industryKey","oil-gas-integrated"
"industryDisp","Oil & Gas Integrated"
"sector","Energy"
"sectorKey","energy"
"sectorDisp","Energy"
"maxAge","86400"
"priceHint","2"
"previousClose","1815.0"
"open","1845.0"
"dayLow","1845.0"
"dayHigh","1880.0"
"regularMarketPreviousClose","1815.0"
"regularMarketOpen","1845.0"
"regularMarketDayLow","1845.0"
"regularMarketDayHigh","1880.0"
"dividendRate","602.66"
"dividendYield","0.3266"
"exDividendDate","1734307200"
"payoutRatio","1.0488"
"fiveYearAvgDividendYield","11.23"
"trailingPE","4.393694"
"volume","4006996"
"regularMarketVolume","4006996"
"averageVolume","3314710"
"averageVolume10days","2724863"
"averageDailyVolume10Day","2724863"
"bid","1835.0"
"ask","1850.0"
"marketCap","75860312850432"
"fiftyTwoWeekLow","1590.0"
"fiftyTwoWeekHigh","2510.0"
"priceToSalesTrailing12Months","0.56896335"
"fiftyDayAverage","1740.5"
"twoHundredDayAverage","2033.425"
"currency","COP"
"forwardPE","4.7155256"
"profitMargins","0.11449"
"floatShares","4731709225"
"sharesOutstanding","41116700672"
"heldPercentInsiders","0.88924"
"heldPercentInstitutions","0.053629998"
"impliedSharesOutstanding","41683001344"
"bookValue","1906.575"
"priceToBook","0.9677039"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1727654400"
"earningsQuarterlyGrowth","-0.283"
"netIncomeToCommon","15265090764800"
"trailingEps","419.92"
"52WeekChange","-0.22315788"
"SandP52WeekChange","0.22263205"
"lastDividendValue","17.0"
"lastDividendDate","1718841600"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","ECOPETROL.CL"
"underlyingSymbol","ECOPETROL.CL"
"shortName","ECOPETROL SA"
"longName","Ecopetrol S.A."
"firstTradeDateEpochUtc","1196260200"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","438f0bba-63d9-3b7f-9690-6edf98cb9d72"
"messageBoardId","finmb_8142536"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","1845.0"
"targetHighPrice","2200.0"
"targetLowPrice","1620.0"
"targetMeanPrice","1830.5"
"targetMedianPrice","1791.5"
"recommendationMean","3.57143"
"recommendationKey","underperform"
"numberOfAnalystOpinions","6"
"ebitda","52187996618752"
"totalRevenue","133330750144512"
"debtToEquity","116.299"
"revenuePerShare","3242.74"
"earningsGrowth","-0.283"
"revenueGrowth","-0.015"
"grossMargins","0.37457"
"ebitdaMargins","0.39141998"
"operatingMargins","0.26891002"
"financialCurrency","COP"
"trailingPegRatio",""
