"Field","Value"
"address1","Calle 3 Sur #43a"
"address2","52 Piso 5"
"city","Medellín"
"country","Colombia"
"phone","57 4 319 5106"
"fax","57 4 319 5155"
"website","https://www.enka.com.co"
"industry","Textile Manufacturing"
"industryKey","textile-manufacturing"
"industryDisp","Textile Manufacturing"
"sector","Consumer Cyclical"
"sectorKey","consumer-cyclical"
"sectorDisp","Consumer Cyclical"
"fullTimeEmployees","929"
"maxAge","86400"
"priceHint","2"
"previousClose","13.7"
"dayLow","13.7"
"dayHigh","13.7"
"regularMarketPreviousClose","13.7"
"regularMarketDayLow","13.7"
"regularMarketDayHigh","13.7"
"dividendRate","1.2"
"dividendYield","0.081599995"
"exDividendDate","1727654400"
"beta","-0.069"
"volume","584418"
"regularMarketVolume","584418"
"averageVolume","1652451"
"averageVolume10days","2298742"
"averageDailyVolume10Day","2298742"
"bid","13.7"
"ask","13.8"
"marketCap","161299693568"
"fiftyTwoWeekLow","13.7"
"fiftyTwoWeekHigh","19.0"
"priceToSalesTrailing12Months","0.3140333"
"fiftyDayAverage","14.814"
"twoHundredDayAverage","15.8685"
"currency","COP"
"enterpriseValue","202084777984"
"profitMargins","0.0269"
"floatShares","2187793428"
"sharesOutstanding","11773700096"
"heldPercentInsiders","0.81548"
"impliedSharesOutstanding","12031500288"
"bookValue","43.61"
"priceToBook","0.31414813"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","-0.492"
"netIncomeToCommon","13817491456"
"enterpriseToRevenue","0.393"
"enterpriseToEbitda","4.93"
"52WeekChange","-0.19411767"
"SandP52WeekChange","0.26272178"
"lastDividendValue","0.4"
"lastDividendDate","1727654400"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","ENKA.CL"
"underlyingSymbol","ENKA.CL"
"shortName","ENKA DE COLOMBIA S"
"longName","Enka de Colombia S.A."
"firstTradeDateEpochUtc","1191331800"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","6cc2d144-edcf-3d16-a0c1-f90cacecf7e5"
"messageBoardId","finmb_873767"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","13.7"
"recommendationKey","none"
"totalCash","51651289088"
"totalCashPerShare","4.387"
"ebitda","40987926528"
"totalDebt","80662331392"
"quickRatio","1.478"
"currentRatio","2.363"
"totalRevenue","513638825984"
"debtToEquity","16.043"
"revenuePerShare","43.626"
"returnOnAssets","0.013259999"
"returnOnEquity","0.027490001"
"freeCashflow","152202117120"
"operatingCashflow","162491383808"
"earningsGrowth","-0.492"
"revenueGrowth","-0.19"
"grossMargins","0.15358"
"ebitdaMargins","0.0798"
"operatingMargins","0.03078"
"financialCurrency","COP"
"trailingPegRatio",""
