"Field","Value"
"address1","Cra. 8 No. 20-56"
"city","Bogotá"
"country","Colombia"
"phone","60 1 242 2000"
"website","https://etb.com"
"industry","Telecom Services"
"industryKey","telecom-services"
"industryDisp","Telecom Services"
"sector","Communication Services"
"sectorKey","communication-services"
"sectorDisp","Communication Services"
"maxAge","86400"
"priceHint","2"
"previousClose","74.0"
"dayLow","74.0"
"dayHigh","74.0"
"regularMarketPreviousClose","74.0"
"regularMarketDayLow","74.0"
"regularMarketDayHigh","74.0"
"exDividendDate","1457395200"
"beta","0.57"
"volume","43685"
"regularMarketVolume","43685"
"averageVolume","96501"
"averageVolume10days","46901"
"averageDailyVolume10Day","46901"
"bid","67.0"
"ask","72.5"
"bidSize","43500"
"askSize","40000"
"marketCap","262740705280"
"fiftyTwoWeekLow","74.0"
"fiftyTwoWeekHigh","109.0"
"priceToSalesTrailing12Months","0.1665248"
"fiftyDayAverage","77.2"
"twoHundredDayAverage","86.8"
"currency","COP"
"enterpriseValue","1134788608000"
"profitMargins","-0.00187"
"floatShares","303430295"
"sharesOutstanding","3550550016"
"heldPercentInsiders","0.94219"
"heldPercentInstitutions","0.009380001"
"impliedSharesOutstanding","3814449920"
"bookValue","608.23"
"priceToBook","0.12166451"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"netIncomeToCommon","-2952289024"
"trailingEps","-7.41"
"enterpriseToRevenue","0.719"
"enterpriseToEbitda","3.877"
"52WeekChange","-0.22105265"
"SandP52WeekChange","0.25443196"
"lastDividendValue","19.0"
"lastDividendDate","1457395200"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","ETB.CL"
"underlyingSymbol","ETB.CL"
"shortName","EMPRESA DE TELECOM"
"longName","Empresa de Telecomunicaciones de Bogotá S.A. E.S.P."
"firstTradeDateEpochUtc","1063114200"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","2e9667d2-fadd-3ad6-9e2c-3f34012f2a85"
"messageBoardId","finmb_5502895"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","74.0"
"recommendationKey","none"
"totalCash","48523264000"
"totalCashPerShare","13.666"
"ebitda","292666212352"
"totalDebt","910560067584"
"quickRatio","0.571"
"currentRatio","0.657"
"totalRevenue","1577787326464"
"debtToEquity","42.448"
"revenuePerShare","444.378"
"returnOnAssets","-0.0029699998"
"returnOnEquity","-0.00182"
"freeCashflow","-316745777152"
"operatingCashflow","259867279360"
"revenueGrowth","0.015"
"grossMargins","0.27149"
"ebitdaMargins","0.18549"
"operatingMargins","-0.055809997"
"financialCurrency","COP"
"trailingPegRatio",""
