"Field","Value"
"address1","Carrera 9 No. 73-44"
"city","Bogotá"
"country","Colombia"
"website","https://www.grupoenergiabogota.com"
"industry","Utilities - Regulated Electric"
"industryKey","utilities-regulated-electric"
"industryDisp","Utilities - Regulated Electric"
"sector","Utilities"
"sectorKey","utilities"
"sectorDisp","Utilities"
"maxAge","86400"
"priceHint","2"
"previousClose","2440.0"
"open","2495.0"
"dayLow","2495.0"
"dayHigh","2500.0"
"regularMarketPreviousClose","2440.0"
"regularMarketOpen","2495.0"
"regularMarketDayLow","2495.0"
"regularMarketDayHigh","2500.0"
"dividendRate","251.0"
"dividendYield","0.09689999"
"exDividendDate","1733443200"
"payoutRatio","0.5784"
"fiveYearAvgDividendYield","8.22"
"beta","0.322"
"trailingPE","7.056366"
"forwardPE","8.263098"
"volume","16135"
"regularMarketVolume","16135"
"averageVolume","552775"
"averageVolume10days","281175"
"averageDailyVolume10Day","281175"
"bid","2460.0"
"ask","2500.0"
"marketCap","22952949055488"
"fiftyTwoWeekLow","1960.0"
"fiftyTwoWeekHigh","2645.0"
"priceToSalesTrailing12Months","2.9611235"
"fiftyDayAverage","2517.4"
"twoHundredDayAverage","2494.95"
"currency","COP"
"enterpriseValue","41653247148032"
"profitMargins","0.3092"
"floatShares","2821742944"
"sharesOutstanding","9181179904"
"heldPercentInsiders","0.72365"
"heldPercentInstitutions","0.23378"
"impliedSharesOutstanding","9350500352"
"bookValue","2059.461"
"priceToBook","1.2139099"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","-0.149"
"netIncomeToCommon","2396744056832"
"trailingEps","354.29"
"forwardEps","357.52"
"lastSplitFactor","100:1"
"lastSplitDate","1308700800"
"enterpriseToRevenue","5.374"
"enterpriseToEbitda","12.128"
"52WeekChange","0.14553988"
"SandP52WeekChange","0.25443196"
"lastDividendValue","125.5"
"lastDividendDate","1733443200"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","GEB.CL"
"underlyingSymbol","GEB.CL"
"shortName","GPO ENERGIA BOGOTA"
"longName","Grupo Energía Bogotá S.A. E.S.P."
"firstTradeDateEpochUtc","1254922200"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","a26412d3-288c-31d0-8901-ecf8eb8f8bad"
"messageBoardId","finmb_27351050"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","2500.0"
"targetHighPrice","3800.0"
"targetLowPrice","2500.0"
"targetMeanPrice","3150.0"
"targetMedianPrice","3150.0"
"recommendationKey","none"
"numberOfAnalystOpinions","2"
"totalCash","2070000041984"
"totalCashPerShare","225.461"
"ebitda","3434469130240"
"totalDebt","19376000466944"
"quickRatio","0.823"
"currentRatio","0.982"
"totalRevenue","7751432929280"
"debtToEquity","104.605"
"revenuePerShare","844.274"
"returnOnAssets","0.03586"
"returnOnEquity","0.13542"
"freeCashflow","832022118400"
"operatingCashflow","2760318910464"
"earningsGrowth","-0.205"
"revenueGrowth","-0.009"
"grossMargins","0.45321"
"ebitdaMargins","0.44307998"
"operatingMargins","0.32173002"
"financialCurrency","COP"
"trailingPegRatio",""
