"Field","Value"
"address1","Carrera 43a No 1aSur - 143"
"address2","Santillana Center - South Tower"
"city","Medellín"
"country","Colombia"
"phone","57 60 4 315 8400"
"website","https://www.grupoargos.com"
"industry","Building Materials"
"industryKey","building-materials"
"industryDisp","Building Materials"
"sector","Basic Materials"
"sectorKey","basic-materials"
"sectorDisp","Basic Materials"
"maxAge","86400"
"priceHint","2"
"previousClose","20400.0"
"open","20200.0"
"dayLow","19800.0"
"dayHigh","20400.0"
"regularMarketPreviousClose","20400.0"
"regularMarketOpen","20200.0"
"regularMarketDayLow","19800.0"
"regularMarketDayHigh","20400.0"
"dividendRate","636.0"
"dividendYield","0.0348"
"exDividendDate","1735862400"
"payoutRatio","0.3305"
"fiveYearAvgDividendYield","4.04"
"beta","0.315"
"trailingPE","9.387718"
"volume","89220"
"regularMarketVolume","89220"
"averageVolume","169890"
"averageVolume10days","189436"
"averageDailyVolume10Day","189436"
"bid","21920.0"
"ask","20380.0"
"marketCap","15671680303104"
"fiftyTwoWeekLow","11820.0"
"fiftyTwoWeekHigh","21000.0"
"priceToSalesTrailing12Months","0.68894774"
"fiftyDayAverage","19223.2"
"twoHundredDayAverage","17206.6"
"currency","COP"
"enterpriseValue","35447514333184"
"forwardPE","14.69396"
"profitMargins","0.18361"
"floatShares","612805841"
"sharesOutstanding","645228992"
"heldPercentInsiders","0.27489"
"heldPercentInstitutions","0.53648996"
"impliedSharesOutstanding","892713984"
"bookValue","21897.076"
"priceToBook","0.9270644"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","-0.395"
"netIncomeToCommon","-863860817920"
"trailingEps","2162.4"
"lastSplitFactor","4:1"
"lastSplitDate","1128297600"
"enterpriseToRevenue","1.558"
"enterpriseToEbitda","5.755"
"52WeekChange","0.6748768"
"SandP52WeekChange","0.23397195"
"lastDividendValue","159.0"
"lastDividendDate","1735862400"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","GRUPOARGOS.CL"
"underlyingSymbol","GRUPOARGOS.CL"
"shortName","GRUPO ARGOS S.A."
"longName","Grupo Argos S.A."
"firstTradeDateEpochUtc","947255400"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","eb6d1bcc-3679-3d3f-9e6e-185e634d3d8e"
"messageBoardId","finmb_878225"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","20300.0"
"targetHighPrice","21760.0"
"targetLowPrice","11600.0"
"targetMeanPrice","15865.0"
"targetMedianPrice","15050.0"
"recommendationMean","2.0"
"recommendationKey","buy"
"numberOfAnalystOpinions","4"
"totalCash","3296957825024"
"totalCashPerShare","3850.216"
"ebitda","6159302393856"
"totalDebt","12519020167168"
"quickRatio","0.738"
"currentRatio","0.948"
"totalRevenue","22747270873088"
"debtToEquity","38.533"
"revenuePerShare","26360.945"
"returnOnAssets","0.06185"
"returnOnEquity","0.07181"
"freeCashflow","6158112260096"
"operatingCashflow","3307546869760"
"earningsGrowth","-0.387"
"revenueGrowth","-0.165"
"grossMargins","0.31119"
"ebitdaMargins","0.27076998"
"operatingMargins","0.20634001"
"financialCurrency","COP"
"trailingPegRatio",""
