"Field","Value"
"maxAge","86400"
"priceHint","2"
"previousClose","14796.0"
"dayLow","14796.0"
"dayHigh","14796.0"
"regularMarketPreviousClose","14796.0"
"regularMarketDayLow","14796.0"
"regularMarketDayHigh","14796.0"
"volume","56"
"regularMarketVolume","56"
"bid","14897.5"
"ask","14982.5"
"fiftyTwoWeekLow","12460.0"
"fiftyTwoWeekHigh","15939.5"
"fiftyDayAverage","14506.45"
"twoHundredDayAverage","14370.48"
"currency","COP"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","HCOLSEL.CL"
"underlyingSymbol","HCOLSEL.CL"
"shortName","FIDUCIARIA BOGOTA"
"firstTradeDateEpochUtc","1402320600"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","50a918d0-c88d-3597-bc7f-82155b792a81"
"messageBoardId","finmb_264981411"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","14796.0"
"recommendationKey","none"
"trailingPegRatio",""
