"Field","Value"
"maxAge","86400"
"priceHint","2"
"previousClose","18560.0"
"dayLow","17100.0"
"dayHigh","17100.0"
"regularMarketPreviousClose","18560.0"
"regularMarketDayLow","17100.0"
"regularMarketDayHigh","17100.0"
"bid","16540.0"
"ask","18000.0"
"askSize","4000"
"fiftyTwoWeekLow","17100.0"
"fiftyTwoWeekHigh","17100.0"
"currency","COP"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","NUAMCO.CL"
"underlyingSymbol","NUAMCO.CL"
"shortName","HBR S.A. - HOLDING BURSATIL REG"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"gmtOffSetMilliseconds","-18000000"
"trailingPegRatio",""
