"Field","Value"
"address1","Calle 28 #13a – 75"
"address2","piso 34 -Torre Atrio"
"city","Bogotá"
"country","Colombia"
"website","https://www.pei.com.co"
"maxAge","86400"
"priceHint","2"
"previousClose","69000.0"
"open","69000.0"
"dayLow","69000.0"
"dayHigh","69000.0"
"regularMarketPreviousClose","69000.0"
"regularMarketOpen","69000.0"
"regularMarketDayLow","69000.0"
"regularMarketDayHigh","69000.0"
"volume","22210"
"regularMarketVolume","22210"
"averageVolume","25619"
"averageVolume10days","8259"
"averageDailyVolume10Day","8259"
"bid","68760.0"
"ask","69380.0"
"bidSize","1400"
"fiftyTwoWeekLow","63000.0"
"fiftyTwoWeekHigh","77300.0"
"fiftyDayAverage","68701.2"
"twoHundredDayAverage","70329.25"
"currency","COP"
"enterpriseValue","6163789774848"
"profitMargins","0.54023"
"bookValue","139562.2"
"priceToBook","0.4944032"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1727654400"
"earningsQuarterlyGrowth","-0.313"
"netIncomeToCommon","437149532160"
"enterpriseToRevenue","7.617"
"enterpriseToEbitda","11.497"
"52WeekChange","-0.10737389"
"SandP52WeekChange","0.26272178"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","PEI.CL"
"underlyingSymbol","PEI.CL"
"shortName","PATR AUTON EST INM"
"longName","Patrimonio Autónomo Estrategias Inmobiliarias (3-2-4241)"
"firstTradeDateEpochUtc","1718717400"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","bf67608d-5fc5-32c2-81e8-b6ee0bc577ae"
"messageBoardId","finmb_127147755"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","69000.0"
"targetHighPrice","112900.0"
"targetLowPrice","112900.0"
"targetMeanPrice","112900.0"
"targetMedianPrice","112900.0"
"recommendationKey","none"
"numberOfAnalystOpinions","1"
"totalCash","55663927296"
"totalCashPerShare","1300.233"
"ebitda","536098603008"
"totalDebt","3256949932032"
"quickRatio","0.11"
"currentRatio","0.139"
"totalRevenue","809196126208"
"debtToEquity","51.472"
"revenuePerShare","17258.588"
"returnOnAssets","0.03531"
"returnOnEquity","0.07092"
"freeCashflow","77494149120"
"operatingCashflow","655192621056"
"revenueGrowth","0.107"
"grossMargins","0.84272003"
"ebitdaMargins","0.66251"
"operatingMargins","0.64564"
"financialCurrency","COP"
"trailingPegRatio",""
