"Field","Value"
"address1","Avenida El Dorado"
"address2","No. 68C-61"
"city","Bogotá"
"country","Colombia"
"phone","57 6 01 338 3838"
"website","https://www.davivienda.com"
"industry","Banks - Regional"
"industryKey","banks-regional"
"industryDisp","Banks - Regional"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"fullTimeEmployees","17962"
"maxAge","86400"
"priceHint","2"
"previousClose","19540.0"
"open","19540.0"
"dayLow","19040.0"
"dayHigh","19600.0"
"regularMarketPreviousClose","19540.0"
"regularMarketOpen","19540.0"
"regularMarketDayLow","19040.0"
"regularMarketDayHigh","19600.0"
"dividendRate","1010.0"
"dividendYield","0.056700002"
"exDividendDate","1694044800"
"payoutRatio","0.31"
"fiveYearAvgDividendYield","3.26"
"beta","0.673"
"volume","114406"
"regularMarketVolume","114406"
"averageVolume","40931"
"averageVolume10days","74785"
"averageDailyVolume10Day","74785"
"bid","19060.0"
"ask","19140.0"
"marketCap","9152433750016"
"fiftyTwoWeekLow","17200.0"
"fiftyTwoWeekHigh","23420.0"
"priceToSalesTrailing12Months","2.241704"
"fiftyDayAverage","18306.0"
"twoHundredDayAverage","19400.2"
"currency","COP"
"enterpriseValue","21627469299712"
"forwardPE","5.523038"
"profitMargins","-0.24992001"
"floatShares","100206516"
"sharesOutstanding","116601000"
"heldPercentInsiders","0.16994"
"heldPercentInstitutions","0.59595"
"impliedSharesOutstanding","479184992"
"bookValue","32248.97"
"priceToBook","0.592267"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"netIncomeToCommon","-1020364980224"
"trailingEps","-1164.58"
"enterpriseToRevenue","5.297"
"52WeekChange","-0.03838581"
"SandP52WeekChange","0.23713636"
"lastDividendValue","505.0"
"lastDividendDate","1694044800"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","PFDAVVNDA.CL"
"underlyingSymbol","PFDAVVNDA.CL"
"shortName","BANCO DAVIVIENDA S"
"longName","Banco Davivienda S.A."
"firstTradeDateEpochUtc","1286285400"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","06607d61-afd0-30c0-8418-3b7a02ccd59a"
"messageBoardId","finmb_11515380"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","19100.0"
"targetHighPrice","27000.0"
"targetLowPrice","20000.0"
"targetMeanPrice","22050.0"
"targetMedianPrice","20900.0"
"recommendationMean","2.42857"
"recommendationKey","buy"
"numberOfAnalystOpinions","6"
"totalCash","21757639524352"
"totalCashPerShare","44615.46"
"totalDebt","34359333617664"
"totalRevenue","4082802098176"
"revenuePerShare","8692.674"
"returnOnAssets","-0.0054699997"
"returnOnEquity","-0.064"
"operatingCashflow","-3533346963456"
"revenueGrowth","-0.147"
"operatingMargins","-0.16693"
"financialCurrency","COP"
"trailingPegRatio",""
