"Field","Value"
"address1","Carrera 43a No 1aSur - 143"
"address2","Santillana Center - South Tower"
"city","Medellín"
"country","Colombia"
"phone","57 60 4 315 8400"
"website","https://www.grupoargos.com"
"industry","Building Materials"
"industryKey","building-materials"
"industryDisp","Building Materials"
"sector","Basic Materials"
"sectorKey","basic-materials"
"sectorDisp","Basic Materials"
"maxAge","86400"
"priceHint","2"
"previousClose","15100.0"
"open","14800.0"
"dayLow","14780.0"
"dayHigh","14960.0"
"regularMarketPreviousClose","15100.0"
"regularMarketOpen","14800.0"
"regularMarketDayLow","14780.0"
"regularMarketDayHigh","14960.0"
"dividendRate","636.0"
"dividendYield","0.048499998"
"exDividendDate","1735862400"
"payoutRatio","0.3305"
"fiveYearAvgDividendYield","5.54"
"beta","0.315"
"trailingPE","6.8445"
"volume","16197"
"regularMarketVolume","16197"
"averageVolume","86642"
"averageVolume10days","27892"
"averageDailyVolume10Day","27892"
"bid","14820.0"
"ask","14860.0"
"marketCap","16036687511552"
"fiftyTwoWeekLow","9000.0"
"fiftyTwoWeekHigh","15800.0"
"priceToSalesTrailing12Months","0.7049939"
"fiftyDayAverage","14101.2"
"twoHundredDayAverage","12363.8"
"currency","COP"
"enterpriseValue","30994732154880"
"profitMargins","0.18361"
"floatShares","612805841"
"sharesOutstanding","209620992"
"heldPercentInsiders","0.052849997"
"heldPercentInstitutions","0.72037005"
"impliedSharesOutstanding","1083559936"
"bookValue","21897.076"
"priceToBook","0.6758893"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","-0.395"
"netIncomeToCommon","-863860817920"
"trailingEps","2162.32"
"enterpriseToRevenue","1.363"
"enterpriseToEbitda","5.032"
"52WeekChange","0.5729166"
"SandP52WeekChange","0.23713636"
"lastDividendValue","159.0"
"lastDividendDate","1735862400"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","PFGRUPOARG.CL"
"underlyingSymbol","PFGRUPOARG.CL"
"shortName","GRUPO ARGOS S.A."
"longName","Grupo Argos S.A."
"firstTradeDateEpochUtc","1339162200"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","646bc589-0634-3d91-9161-9606dcbd8a49"
"messageBoardId","finmb_878225"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","14800.0"
"targetHighPrice","18500.0"
"targetLowPrice","18500.0"
"targetMeanPrice","18500.0"
"targetMedianPrice","18500.0"
"recommendationKey","none"
"numberOfAnalystOpinions","1"
"totalCash","3296957825024"
"totalCashPerShare","3850.216"
"ebitda","6159302393856"
"totalDebt","12519020167168"
"quickRatio","0.738"
"currentRatio","0.948"
"totalRevenue","22747270873088"
"debtToEquity","38.533"
"revenuePerShare","26360.945"
"returnOnAssets","0.06185"
"returnOnEquity","0.07181"
"freeCashflow","6158112260096"
"operatingCashflow","3307546869760"
"earningsGrowth","-0.387"
"revenueGrowth","-0.165"
"grossMargins","0.31119"
"ebitdaMargins","0.27076998"
"operatingMargins","0.20634001"
"financialCurrency","COP"
"trailingPegRatio",""
