"Field","Value"
"address1","Calle 66, No. 67-123"
"city","Barranquilla"
"country","Colombia"
"phone","57 5 371 3555"
"website","https://www.promigas.com"
"industry","Utilities - Regulated Gas"
"industryKey","utilities-regulated-gas"
"industryDisp","Utilities - Regulated Gas"
"sector","Utilities"
"sectorKey","utilities"
"sectorDisp","Utilities"
"fullTimeEmployees","2247"
"maxAge","86400"
"priceHint","2"
"previousClose","7450.0"
"regularMarketPreviousClose","7450.0"
"dividendRate","2064.0"
"dividendYield","0.2603"
"exDividendDate","1734307200"
"payoutRatio","0.105299994"
"fiveYearAvgDividendYield","4.71"
"beta","0.469"
"trailingPE","7.6278043"
"averageVolume","16019"
"averageVolume10days","11341"
"averageDailyVolume10Day","11341"
"marketCap","8454632636416"
"fiftyTwoWeekHigh","8250.0"
"priceToSalesTrailing12Months","1.2061304"
"fiftyDayAverage","7690.0"
"twoHundredDayAverage","7063.8"
"currency","COP"
"enterpriseValue","18239708987392"
"profitMargins","0.15989"
"floatShares","115561576"
"sharesOutstanding","1134850048"
"heldPercentInsiders","0.89721"
"heldPercentInstitutions","0.07091"
"impliedSharesOutstanding","1172930048"
"bookValue","5105.635"
"priceToBook","1.4591721"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","0.175"
"netIncomeToCommon","1120805060608"
"trailingEps","976.69"
"lastSplitFactor","49:48"
"lastSplitDate","1411516800"
"enterpriseToRevenue","2.602"
"enterpriseToEbitda","8.245"
"52WeekChange","0.7447307"
"SandP52WeekChange","0.2511797"
"lastDividendValue","172.0"
"lastDividendDate","1734307200"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","PROMIGAS.CL"
"underlyingSymbol","PROMIGAS.CL"
"shortName","PROMIGAS SA"
"longName","Promigas S.A. E.S.P."
"firstTradeDateEpochUtc","948810600"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","9f003a07-7d5a-3570-bb86-1cc6a7d83903"
"messageBoardId","finmb_878609"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","7450.0"
"recommendationKey","none"
"totalCash","867328983040"
"totalCashPerShare","764.269"
"ebitda","2212080910336"
"totalDebt","9765760532480"
"quickRatio","0.9"
"currentRatio","1.198"
"totalRevenue","7009716928512"
"debtToEquity","155.798"
"revenuePerShare","6176.756"
"returnOnAssets","0.063769996"
"returnOnEquity","0.20684999"
"freeCashflow","6674929664"
"operatingCashflow","654035386368"
"earningsGrowth","0.175"
"revenueGrowth","0.188"
"grossMargins","0.35917"
"ebitdaMargins","0.31557"
"operatingMargins","0.26493"
"financialCurrency","COP"
"trailingPegRatio",""
