"Field","Value"
"address1","Carrera 7 No. 75 - 51"
"city","Bogotá"
"country","Colombia"
"phone","571 326 78 78"
"fax","57 376 97 21"
"website","https://www.terpel.com"
"industry","Oil & Gas Refining & Marketing"
"industryKey","oil-gas-refining-marketing"
"industryDisp","Oil & Gas Refining & Marketing"
"sector","Energy"
"sectorKey","energy"
"sectorDisp","Energy"
"maxAge","86400"
"priceHint","2"
"previousClose","11100.0"
"open","11100.0"
"dayLow","11040.0"
"dayHigh","11200.0"
"regularMarketPreviousClose","11100.0"
"regularMarketOpen","11100.0"
"regularMarketDayLow","11040.0"
"regularMarketDayHigh","11200.0"
"dividendRate","786.2"
"dividendYield","0.070199996"
"exDividendDate","1711411200"
"payoutRatio","0.74050003"
"fiveYearAvgDividendYield","5.04"
"beta","0.434"
"trailingPE","8.896195"
"volume","17593"
"regularMarketVolume","17593"
"averageVolume","36264"
"averageVolume10days","7020"
"averageDailyVolume10Day","7020"
"bid","11220.0"
"ask","11280.0"
"marketCap","2049840906240"
"fiftyTwoWeekLow","7500.0"
"fiftyTwoWeekHigh","11500.0"
"priceToSalesTrailing12Months","0.056121826"
"fiftyDayAverage","10643.6"
"twoHundredDayAverage","9349.8"
"currency","COP"
"enterpriseValue","5356921028608"
"profitMargins","0.01386"
"floatShares","30675255"
"sharesOutstanding","181424992"
"heldPercentInsiders","0.8156"
"heldPercentInstitutions","0.07959"
"impliedSharesOutstanding","185674000"
"bookValue","15163.577"
"priceToBook","0.7280604"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","49.668"
"netIncomeToCommon","566193422336"
"trailingEps","1240.98"
"enterpriseToRevenue","0.147"
"enterpriseToEbitda","3.352"
"52WeekChange","0.48000002"
"SandP52WeekChange","0.23397195"
"lastDividendValue","786.20447"
"lastDividendDate","1711411200"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","TERPEL.CL"
"underlyingSymbol","TERPEL.CL"
"shortName","ORGANIZ TERPEL SA"
"longName","Organización Terpel S.A."
"firstTradeDateEpochUtc","1408455000"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","b939afe4-8b15-35cb-9bfa-dbe2f9c91811"
"messageBoardId","finmb_26427840"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","11040.0"
"targetHighPrice","14000.0"
"targetLowPrice","14000.0"
"targetMeanPrice","14000.0"
"targetMedianPrice","14000.0"
"recommendationKey","none"
"numberOfAnalystOpinions","1"
"totalCash","833775665152"
"totalCashPerShare","4595.717"
"ebitda","1597977264128"
"totalDebt","4187404632064"
"quickRatio","0.714"
"currentRatio","1.465"
"totalRevenue","36524842287104"
"debtToEquity","139.388"
"revenuePerShare","201322.53"
"returnOnAssets","0.09073"
"returnOnEquity","0.1997"
"freeCashflow","758518185984"
"operatingCashflow","1602999025664"
"earningsGrowth","49.668"
"revenueGrowth","0.05"
"grossMargins","0.09362"
"ebitdaMargins","0.04375"
"operatingMargins","0.04053"
"financialCurrency","COP"
"trailingPegRatio",""
