"Field","Value"
"address1","Carrera 48 # 26-85"
"address2","Avenida Los Industriales"
"city","Medellín"
"country","Colombia"
"phone","57 6 014 885950"
"website","https://www.grupobancolombia.com"
"industry","Banks - Regional"
"industryKey","banks-regional"
"industryDisp","Banks - Regional"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"fullTimeEmployees","33888"
"maxAge","86400"
"priceHint","2"
"previousClose","37500.0"
"open","37700.0"
"dayLow","37700.0"
"dayHigh","38000.0"
"regularMarketPreviousClose","37500.0"
"regularMarketOpen","37700.0"
"regularMarketDayLow","37700.0"
"regularMarketDayHigh","38000.0"
"dividendRate","3536.0"
"dividendYield","0.0943"
"exDividendDate","1735171200"
"payoutRatio","0.5566"
"fiveYearAvgDividendYield","6.07"
"beta","1.098"
"trailingPE","5.9346714"
"volume","70343"
"regularMarketVolume","70343"
"averageVolume","112398"
"averageVolume10days","105921"
"averageDailyVolume10Day","105921"
"bid","37700.0"
"ask","37780.0"
"marketCap","35230350049280"
"fiftyTwoWeekLow","30600.0"
"fiftyTwoWeekHigh","40300.0"
"priceToSalesTrailing12Months","1.6251103"
"fiftyDayAverage","37810.8"
"twoHundredDayAverage","35912.4"
"currency","COP"
"enterpriseValue","45918850121728"
"forwardPE","5.9758573"
"profitMargins","0.27918"
"floatShares","548722304"
"sharesOutstanding","509704992"
"heldPercentInsiders","0.55871"
"heldPercentInstitutions","0.31500998"
"impliedSharesOutstanding","963267008"
"bookValue","42522.652"
"priceToBook","0.88658625"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1727654400"
"earningsQuarterlyGrowth","0.006"
"netIncomeToCommon","6052349214720"
"trailingEps","6352.5"
"enterpriseToRevenue","2.118"
"52WeekChange","0.16459632"
"SandP52WeekChange","0.23397195"
"lastDividendValue","884.0"
"lastDividendDate","1735171200"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","BCOLOMBIA.CL"
"underlyingSymbol","BCOLOMBIA.CL"
"shortName","BANCOLOMBIA SA"
"longName","Bancolombia S.A."
"firstTradeDateEpochUtc","946996200"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","7de65355-8a40-3f65-90c4-27ae9066b5e8"
"messageBoardId","finmb_393219"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","37700.0"
"targetHighPrice","47000.0"
"targetLowPrice","30604.0"
"targetMeanPrice","36300.668"
"targetMedianPrice","35750.0"
"recommendationMean","2.33333"
"recommendationKey","buy"
"numberOfAnalystOpinions","6"
"totalCash","26541796884480"
"totalCashPerShare","27595.188"
"totalDebt","35107752640512"
"totalRevenue","21678744666112"
"revenuePerShare","22539.13"
"returnOnAssets","0.017690001"
"returnOnEquity","0.15218"
"earningsGrowth","0.006"
"revenueGrowth","0.056"
"operatingMargins","0.38664"
"financialCurrency","COP"
"trailingPegRatio",""
