"Field","Value"
"address1","Calle 26 # 92-32"
"address2","oficina 02-144"
"city","Bogotá"
"zip","110911"
"country","Colombia"
"website","https://www.bac-holding.com"
"industry","Banks - Regional"
"industryKey","banks-regional"
"industryDisp","Banks - Regional"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"maxAge","86400"
"priceHint","2"
"previousClose","301.0"
"open","299.0"
"dayLow","299.0"
"dayHigh","299.0"
"regularMarketPreviousClose","301.0"
"regularMarketOpen","299.0"
"regularMarketDayLow","299.0"
"regularMarketDayHigh","299.0"
"dividendRate","30.31"
"dividendYield","0.0994"
"exDividendDate","1734048000"
"payoutRatio","0.64949995"
"beta","1.135"
"trailingPE","7.858082"
"volume","99428"
"regularMarketVolume","99428"
"averageVolume","1061222"
"averageVolume10days","631018"
"averageDailyVolume10Day","631018"
"bid","296.0"
"ask","299.0"
"marketCap","13051619180544"
"fiftyTwoWeekLow","205.0"
"fiftyTwoWeekHigh","314.0"
"priceToSalesTrailing12Months","5301.5596"
"fiftyDayAverage","304.14"
"twoHundredDayAverage","283.06"
"currency","COP"
"enterpriseValue","13181939351552"
"profitMargins","0.25749"
"floatShares","14390159774"
"sharesOutstanding","43220201472"
"heldPercentInsiders","0.97616994"
"heldPercentInstitutions","0.0001"
"impliedSharesOutstanding","43650899968"
"bookValue","0.092"
"priceToBook","3250.0"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","0.138"
"netIncomeToCommon","633901504"
"trailingEps","38.05"
"enterpriseToRevenue","5354.495"
"52WeekChange","0.45410633"
"SandP52WeekChange","0.23397195"
"lastDividendValue","0.00193"
"lastDividendDate","1734048000"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","BHI.CL"
"underlyingSymbol","BHI.CL"
"shortName","BAC HOLDING INTERN"
"longName","BAC Holding International Corp."
"firstTradeDateEpochUtc","1650375000"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","cbd65a40-089b-3a3e-98fa-a73a5beb7b1b"
"messageBoardId","finmb_1773348344"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","299.0"
"recommendationKey","none"
"totalCash","4986214400"
"totalCashPerShare","0.115"
"totalDebt","4768845824"
"totalRevenue","2461845248"
"revenuePerShare","0.057"
"returnOnAssets","0.018099999"
"returnOnEquity","0.16268998"
"operatingCashflow","-2055686784"
"earningsGrowth","0.138"
"revenueGrowth","0.092"
"operatingMargins","0.42136002"
"financialCurrency","USD"
"trailingPegRatio",""
