"Field","Value"
"address1","Calle 36 # 7-47"
"city","Bogotá"
"country","Colombia"
"phone","57 601 3320032"
"website","https://www.bancodebogota.com"
"industry","Banks - Regional"
"industryKey","banks-regional"
"industryDisp","Banks - Regional"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"fullTimeEmployees","12281"
"maxAge","86400"
"priceHint","2"
"previousClose","26060.0"
"open","26080.0"
"dayLow","26080.0"
"dayHigh","26700.0"
"regularMarketPreviousClose","26060.0"
"regularMarketOpen","26080.0"
"regularMarketDayLow","26080.0"
"regularMarketDayHigh","26700.0"
"dividendRate","1452.0"
"dividendYield","0.053200003"
"exDividendDate","1732579200"
"payoutRatio","1.5536"
"fiveYearAvgDividendYield","7.61"
"beta","0.877"
"trailingPE","11.576934"
"forwardPE","3825.2148"
"volume","5192"
"regularMarketVolume","5192"
"averageVolume","15267"
"averageVolume10days","9381"
"averageDailyVolume10Day","9381"
"bid","26100.0"
"ask","26480.0"
"marketCap","9492491141120"
"fiftyTwoWeekLow","24000.0"
"fiftyTwoWeekHigh","33480.0"
"priceToSalesTrailing12Months","2.0761647"
"fiftyDayAverage","27316.8"
"twoHundredDayAverage","27458.0"
"currency","COP"
"enterpriseValue","21371784527872"
"profitMargins","0.12864"
"floatShares","23087767"
"sharesOutstanding","355251008"
"heldPercentInsiders","0.93114996"
"heldPercentInstitutions","0.00818"
"impliedSharesOutstanding","355524000"
"bookValue","44223.535"
"priceToBook","0.60375094"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","-0.288"
"netIncomeToCommon","588150996992"
"trailingEps","2306.31"
"forwardEps","6.98"
"lastSplitFactor","14.258939:13.258939"
"lastSplitDate","1655769600"
"enterpriseToRevenue","4.674"
"52WeekChange","-0.016603768"
"SandP52WeekChange","0.23397195"
"lastDividendValue","121.0"
"lastDividendDate","1740441600"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","BOGOTA.CL"
"underlyingSymbol","BOGOTA.CL"
"shortName","BANCO DE BOGOTA SA"
"longName","Banco de Bogotá S.A."
"firstTradeDateEpochUtc","947255400"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","c3bb1917-4885-3e30-a119-cfb102d745d4"
"messageBoardId","finmb_874123"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","26700.0"
"targetHighPrice","40700.0"
"targetLowPrice","40700.0"
"targetMeanPrice","40700.0"
"targetMedianPrice","40700.0"
"recommendationKey","none"
"numberOfAnalystOpinions","1"
"totalCash","8733465772032"
"totalCashPerShare","24583.926"
"totalDebt","20354877620224"
"totalRevenue","4572127952896"
"revenuePerShare","12870.132"
"returnOnAssets","0.00427"
"returnOnEquity","0.03812"
"operatingCashflow","-2765595082752"
"earningsGrowth","-0.288"
"revenueGrowth","-0.066"
"operatingMargins","0.24755"
"financialCurrency","COP"
"trailingPegRatio",""
