"Field","Value"
"address1","carrera 53"
"address2","No 106–280 Centro Empresarial Buenavista Piso 17, Buenavista"
"city","Barranquilla"
"country","Colombia"
"website","https://www.argos.co"
"industry","Building Materials"
"industryKey","building-materials"
"industryDisp","Building Materials"
"sector","Basic Materials"
"sectorKey","basic-materials"
"sectorDisp","Basic Materials"
"fullTimeEmployees","7000"
"maxAge","86400"
"priceHint","2"
"previousClose","10080.0"
"open","10080.0"
"dayLow","10000.0"
"dayHigh","10400.0"
"regularMarketPreviousClose","10080.0"
"regularMarketOpen","10080.0"
"regularMarketDayLow","10000.0"
"regularMarketDayHigh","10400.0"
"dividendRate","441.6"
"dividendYield","0.052399997"
"exDividendDate","1735516800"
"payoutRatio","0.84099996"
"fiveYearAvgDividendYield","5.12"
"beta","0.746"
"trailingPE","19.13911"
"volume","706279"
"regularMarketVolume","706279"
"averageVolume","945151"
"averageVolume10days","556018"
"averageDailyVolume10Day","556018"
"bid","10320.0"
"ask","10360.0"
"marketCap","13633346076672"
"fiftyTwoWeekLow","5990.0"
"fiftyTwoWeekHigh","10400.0"
"priceToSalesTrailing12Months","1.0810051"
"fiftyDayAverage","8804.2"
"twoHundredDayAverage","8372.4"
"currency","COP"
"enterpriseValue","14295457857536"
"forwardPE","30.543352"
"profitMargins","0.43932"
"floatShares","537446643"
"sharesOutstanding","1315960064"
"heldPercentInsiders","0.59168"
"heldPercentInstitutions","0.30431998"
"impliedSharesOutstanding","1344179968"
"bookValue","7187.61"
"priceToBook","1.4413693"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","-0.207"
"netIncomeToCommon","490948984832"
"trailingEps","541.3"
"lastSplitFactor","5:1"
"lastSplitDate","1146528000"
"enterpriseToRevenue","1.134"
"enterpriseToEbitda","6.708"
"52WeekChange","0.6390244"
"SandP52WeekChange","0.23397195"
"lastDividendValue","156.46"
"lastDividendDate","1735516800"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","CEMARGOS.CL"
"underlyingSymbol","CEMARGOS.CL"
"shortName","CEMENTOS ARGOS SA"
"longName","Cementos Argos S.A."
"firstTradeDateEpochUtc","947082600"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","77618c53-aab1-345d-b623-0ff091d47269"
"messageBoardId","finmb_877756"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","10360.0"
"targetHighPrice","12700.0"
"targetLowPrice","8600.0"
"targetMeanPrice","10818.75"
"targetMedianPrice","11000.0"
"recommendationMean","2.44444"
"recommendationKey","buy"
"numberOfAnalystOpinions","8"
"totalCash","2760201994240"
"totalCashPerShare","2097.294"
"ebitda","2131092045824"
"totalDebt","5425453858816"
"quickRatio","0.924"
"currentRatio","1.167"
"totalRevenue","12611732111360"
"debtToEquity","41.315"
"revenuePerShare","10594.037"
"returnOnAssets","0.04744"
"returnOnEquity","0.04757"
"freeCashflow","1256512815104"
"operatingCashflow","1576129003520"
"earningsGrowth","-0.264"
"revenueGrowth","-0.011"
"grossMargins","0.22829"
"ebitdaMargins","0.16898"
"operatingMargins","0.111190006"
"financialCurrency","COP"
"trailingPegRatio",""
