"Field","Value"
"address1","215 - 9th Avenue SW"
"address2","Suite 2000"
"city","Calgary"
"state","AB"
"zip","T2P 1K3"
"country","Canada"
"phone","403 561 1648"
"website","https://canacolenergy.com"
"industry","Oil & Gas E&P"
"industryKey","oil-gas-e-p"
"industryDisp","Oil & Gas E&P"
"sector","Energy"
"sectorKey","energy"
"sectorDisp","Energy"
"fullTimeEmployees","396"
"auditRisk","1"
"boardRisk","5"
"compensationRisk","3"
"shareHolderRightsRisk","2"
"overallRisk","2"
"governanceEpochDate","1733011200"
"compensationAsOfEpochDate","1703980800"
"maxAge","86400"
"priceHint","2"
"previousClose","11360.0"
"open","11300.0"
"dayLow","11060.0"
"dayHigh","11360.0"
"regularMarketPreviousClose","11360.0"
"regularMarketOpen","11300.0"
"regularMarketDayLow","11060.0"
"regularMarketDayHigh","11360.0"
"dividendRate","3075.66"
"dividendYield","0.2707"
"exDividendDate","1703721600"
"payoutRatio","0.2925"
"fiveYearAvgDividendYield","9.15"
"beta","0.838"
"trailingPE","3.7765355"
"forwardPE","4726.496"
"volume","9794"
"regularMarketVolume","9794"
"averageVolume","19203"
"averageVolume10days","11050"
"averageDailyVolume10Day","11050"
"bid","11060.0"
"ask","11100.0"
"bidSize","4000"
"marketCap","377267650560"
"fiftyTwoWeekLow","8900.0"
"fiftyTwoWeekHigh","21260.0"
"priceToSalesTrailing12Months","1061.7687"
"fiftyDayAverage","10865.8"
"twoHundredDayAverage","12420.15"
"trailingAnnualDividendRate","0.211"
"trailingAnnualDividendYield","1.8573943e-05"
"currency","COP"
"enterpriseValue","377805242368"
"profitMargins","0.0636"
"floatShares","19845518"
"sharesOutstanding","34111000"
"heldPercentInsiders","0.20594"
"heldPercentInstitutions","0.23367001"
"impliedSharesOutstanding","34619700"
"bookValue","10.156"
"priceToBook","1089.0114"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1727654400"
"netIncomeToCommon","22599000"
"trailingEps","2928.61"
"forwardEps","7739.71"
"lastSplitFactor","1:5"
"lastSplitDate","1674172800"
"enterpriseToRevenue","1063.282"
"enterpriseToEbitda","1532.647"
"52WeekChange","-0.45541704"
"SandP52WeekChange","0.23397195"
"lastDividendValue","0.26"
"lastDividendDate","1703721600"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","CNEC.CL"
"underlyingSymbol","CNEC.CL"
"shortName","CANACOL ENERGY LTD"
"longName","Canacol Energy Ltd"
"firstTradeDateEpochUtc","1279805400"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","45f40d2c-15b1-36e0-9b3a-d5678ae26b78"
"messageBoardId","finmb_3171755"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","11060.0"
"recommendationMean","3.33333"
"recommendationKey","hold"
"totalCash","67141000"
"totalCashPerShare","1.969"
"ebitda","246504992"
"totalDebt","726393984"
"quickRatio","1.455"
"currentRatio","1.505"
"totalRevenue","355320000"
"debtToEquity","209.68"
"revenuePerShare","10.417"
"returnOnAssets","0.089379996"
"returnOnEquity","0.06697"
"freeCashflow","-58979500"
"operatingCashflow","148184000"
"revenueGrowth","0.195"
"grossMargins","0.79328"
"ebitdaMargins","0.69375"
"operatingMargins","0.63003"
"financialCurrency","USD"
"trailingPegRatio",""
