"Field","Value"
"address1","Sao Paulo Plaza"
"address2","4to piso Carrera 43A No. 18 Sur-135"
"city","Medellín"
"country","Colombia"
"phone","57 604 402 5700"
"website","https://www.conconcreto.com"
"industry","Engineering & Construction"
"industryKey","engineering-construction"
"industryDisp","Engineering & Construction"
"sector","Industrials"
"sectorKey","industrials"
"sectorDisp","Industrials"
"maxAge","86400"
"priceHint","2"
"previousClose","429.0"
"open","427.0"
"dayLow","407.0"
"dayHigh","428.0"
"regularMarketPreviousClose","429.0"
"regularMarketOpen","427.0"
"regularMarketDayLow","407.0"
"regularMarketDayHigh","428.0"
"exDividendDate","1677110400"
"fiveYearAvgDividendYield","1.88"
"beta","0.743"
"trailingPE","24.16953"
"volume","2020630"
"regularMarketVolume","2020630"
"averageVolume","901399"
"averageVolume10days","3237309"
"averageDailyVolume10Day","3237309"
"bid","416.0"
"ask","425.0"
"marketCap","480885866496"
"fiftyTwoWeekLow","250.0"
"fiftyTwoWeekHigh","480.0"
"priceToSalesTrailing12Months","0.42270055"
"fiftyDayAverage","312.18"
"twoHundredDayAverage","294.81"
"currency","COP"
"enterpriseValue","1017533300736"
"profitMargins","0.014989999"
"floatShares","254061764"
"sharesOutstanding","1134249984"
"heldPercentInsiders","0.7959"
"heldPercentInstitutions","0.0081"
"impliedSharesOutstanding","1139539968"
"bookValue","1229.401"
"priceToBook","0.3432566"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"netIncomeToCommon","17050605568"
"trailingEps","17.46"
"enterpriseToRevenue","0.894"
"enterpriseToEbitda","20.742"
"52WeekChange","0.6436782"
"SandP52WeekChange","0.23397195"
"lastDividendValue","4.40818"
"lastDividendDate","1677110400"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","CONCONCRET.CL"
"underlyingSymbol","CONCONCRET.CL"
"shortName","CONSTRUCTORA CONCO"
"longName","Constructora Conconcreto S.A."
"firstTradeDateEpochUtc","1293114600"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","79c0c7eb-9829-3059-ba3f-87130cc74c73"
"messageBoardId","finmb_5700899"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","422.0"
"targetHighPrice","550.0"
"targetLowPrice","550.0"
"targetMeanPrice","550.0"
"targetMedianPrice","550.0"
"recommendationKey","none"
"numberOfAnalystOpinions","1"
"totalCash","116554424320"
"totalCashPerShare","102.759"
"ebitda","49055506432"
"totalDebt","786577752064"
"quickRatio","0.734"
"currentRatio","1.433"
"totalRevenue","1137651351552"
"debtToEquity","54.837"
"revenuePerShare","1002.994"
"returnOnAssets","0.00506"
"returnOnEquity","0.01195"
"freeCashflow","198948651008"
"operatingCashflow","67414007808"
"revenueGrowth","0.014"
"grossMargins","0.07557"
"ebitdaMargins","0.043119997"
"operatingMargins","0.1233"
"financialCurrency","COP"
"trailingPegRatio",""
