"Field","Value"
"address1","Carrera 13 No. 26A – 47"
"address2","23rd Floor"
"city","Bogotá"
"country","Colombia"
"phone","57 601 743 3222"
"website","https://www.grupoaval.com"
"industry","Banks - Regional"
"industryKey","banks-regional"
"industryDisp","Banks - Regional"
"sector","Financial Services"
"sectorKey","financial-services"
"sectorDisp","Financial Services"
"maxAge","86400"
"priceHint","2"
"previousClose","444.0"
"open","441.0"
"dayLow","441.0"
"dayHigh","441.0"
"regularMarketPreviousClose","444.0"
"regularMarketOpen","441.0"
"regularMarketDayLow","441.0"
"regularMarketDayHigh","441.0"
"dividendRate","24.0"
"dividendYield","0.0559"
"exDividendDate","1732579200"
"payoutRatio","1.8752999"
"fiveYearAvgDividendYield","7.0"
"beta","0.498"
"trailingPE","12.816042"
"volume","33272"
"regularMarketVolume","33272"
"averageVolume","44970"
"averageVolume10days","24139"
"averageDailyVolume10Day","24139"
"bid","441.0"
"ask","453.0"
"marketCap","10523317895168"
"fiftyTwoWeekLow","396.0"
"fiftyTwoWeekHigh","534.0"
"priceToSalesTrailing12Months","0.9772688"
"fiftyDayAverage","437.8"
"twoHundredDayAverage","437.46"
"currency","COP"
"enterpriseValue","57776420159488"
"profitMargins","0.04326"
"floatShares","4070344049"
"sharesOutstanding","16201199616"
"heldPercentInsiders","0.97976995"
"heldPercentInstitutions","0.00176"
"impliedSharesOutstanding","23862398976"
"bookValue","706.833"
"priceToBook","0.6239098"
"lastFiscalYearEnd","1703980800"
"nextFiscalYearEnd","1735603200"
"mostRecentQuarter","1719705600"
"earningsQuarterlyGrowth","0.229"
"netIncomeToCommon","465775001600"
"trailingEps","34.41"
"lastSplitFactor","14.72333:13.72333"
"lastSplitDate","1653350400"
"enterpriseToRevenue","5.366"
"52WeekChange","-0.047210276"
"SandP52WeekChange","0.23397195"
"lastDividendValue","2.0"
"lastDividendDate","1740441600"
"exchange","BVC"
"quoteType","EQUITY"
"symbol","GRUPOAVAL.CL"
"underlyingSymbol","GRUPOAVAL.CL"
"shortName","GRUPO AVAL ACCIONE"
"longName","Grupo Aval Acciones y Valores S.A."
"firstTradeDateEpochUtc","949674600"
"timeZoneFullName","America/New_York"
"timeZoneShortName","EST"
"uuid","60cb01bc-b8a1-355a-895c-a67767ebd8a1"
"messageBoardId","finmb_12724130"
"gmtOffSetMilliseconds","-18000000"
"currentPrice","441.0"
"targetHighPrice","640.0"
"targetLowPrice","550.0"
"targetMeanPrice","596.6667"
"targetMedianPrice","600.0"
"recommendationKey","none"
"numberOfAnalystOpinions","3"
"totalCash","34388005879808"
"totalCashPerShare","1448.314"
"totalDebt","66971609595904"
"totalRevenue","10768089088000"
"revenuePerShare","453.518"
"returnOnAssets","0.00518"
"returnOnEquity","0.05098"
"operatingCashflow","-12879574073344"
"earningsGrowth","0.229"
"revenueGrowth","-0.025"
"operatingMargins","0.30145"
"financialCurrency","COP"
"trailingPegRatio",""
